"주연","횟수","점수","평균점수","최종점수"
"송강호",11,174,15.8181818181818,7.24313288270558
"오달수",11,172,15.6363636363636,7.20138537139732
"하정우",15,190,12.6666666666667,7.00412657309679
"류승룡",8,130,16.25,6.77952363939573
"유해진",13,141,10.8461538461538,6.25350812215661
"황정민",13,140,10.7692307692308,6.23129310302172
"전지현",3,66,22,6.17293429144643
"이정재",8,97,12.125,5.85616588627299
"김동욱",4,67,16.75,5.78791845139511
"이병헌",8,91,11.375,5.67215642802523
"강동원",9,95,10.5555555555556,5.62731433871138
"정진영",4,60,15,5.47722557505166
"김향기",3,51,17,5.42631216653363
"마동석",10,92,9.2,5.39378850841865
"주지훈",5,64,12.8,5.34992243981138
"차태현",4,54,13.5,5.19615242270663
"김윤석",12,92,7.66666666666667,5.15345635304334
"류준열",5,56,11.2,5.00439420389698
"곽도원",5,55,11,4.95951083802603
"김혜수",5,55,11,4.95951083802603
"고아성",3,42,14,4.92429805210492
"박해일",6,59,9.83333333333333,4.90781510831123
"유아인",4,47,11.75,4.84767985741633
"최민식",5,48,9.6,4.63316874115308
"조진웅",10,67,6.7,4.60296212488525
"성동일",5,46,9.2,4.53561742136592
"설경구",9,61,6.77777777777778,4.50924975282289
"이하늬",4,39,9.75,4.41588043316392
"백윤식",5,43,8.6,4.38522343860586
"박보영",3,33,11,4.36492369730075
"심은경",3,33,11,4.36492369730075
"정우성",7,49,7,4.30351707065885
"조정석",5,41,8.2,4.28202725534276
"한효주",4,36,9,4.24264068711929
"손예진",5,39,7.8,4.17628186602609
"김무열",3,29,9.66666666666667,4.09184039357587
"공유",4,33,8.25,4.06201920231798
"문정희",3,27,9,3.94822203885748
"김윤진",4,31,7.75,3.93700393700591
"박신혜",4,31,7.75,3.93700393700591
"엄정화",4,31,7.75,3.93700393700591
"김상경",3,26,8.66666666666667,3.87441698826162
"손현주",3,26,8.66666666666667,3.87441698826162
"김아중",4,28,7,3.74165738677394
"하지원",4,28,7,3.74165738677394
"김주혁",5,31,6.2,3.7233884380358
"이선균",5,31,6.2,3.7233884380358
"조승우",5,31,6.2,3.7233884380358
"현빈",3,24,8,3.7224194364084
"김남길",4,27,6.75,3.67423461417477
"이현우",4,27,6.75,3.67423461417477
"안성기",5,29,5.8,3.60127675547142
"조인성",3,22,7.33333333333333,3.56394527485647
"김우빈",4,25,6.25,3.53553390593274
"나문희",4,25,6.25,3.53553390593274
"박희순",6,30,5,3.49963551158058
"엄지원",3,21,7,3.48200454522709
"류승범",4,22,5.5,3.3166247903554
"이범수",4,22,5.5,3.3166247903554
"조여정",4,22,5.5,3.3166247903554
"한석규",4,22,5.5,3.3166247903554
"전혜진",3,19,6.33333333333333,3.31204696745123
"김명민",5,24,4.8,3.27614503525088
"이진욱",3,18,6,3.22370979547063
"정재영",7,27,3.85714285714286,3.19453295040905
"조우진",3,17,5.66666666666667,3.13288279005513
"고창석",6,23,3.83333333333333,3.06426348094756
"주진모",4,18,4.5,3
"강하늘",3,14,4.66666666666667,2.84304480595272
"배성우",3,14,4.66666666666667,2.84304480595272
"신하균",3,14,4.66666666666667,2.84304480595272
"원빈",3,14,4.66666666666667,2.84304480595272
"강예원",3,12,4,2.63214802590498
"허준호",3,12,4,2.63214802590498
"이제훈",4,13,3.25,2.54950975679639
"박서준",3,11,3.66666666666667,2.52008987162876
"이성민",3,11,3.66666666666667,2.52008987162876
"김수미",4,12,3,2.44948974278318
"신현준",4,12,3,2.44948974278318
"김래원",3,9,3,2.27950705695478
"문소리",3,9,3,2.27950705695478
"엄태웅",3,9,3,2.27950705695478
"유지태",3,9,3,2.27950705695478
"장영남",3,9,3,2.27950705695478
"조재현",3,9,3,2.27950705695478
"고수",4,10,2.5,2.23606797749979
"권상우",4,10,2.5,2.23606797749979
"김성균",6,9,1.5,1.91682931273882
"박정민",4,7,1.75,1.87082869338697
"장동건",4,7,1.75,1.87082869338697
"김상호",3,6,2,1.8612097182042
"정경호",3,6,2,1.8612097182042
"조성하",3,6,2,1.8612097182042
"조은지",3,6,2,1.8612097182042
"차승원",3,6,2,1.8612097182042
"박철민",3,3,1,1.31607401295249
"유승호",3,3,1,1.31607401295249
"임창정",3,3,1,1.31607401295249
"임하룡",3,3,1,1.31607401295249
"천호진",3,3,1,1.31607401295249
"탁재훈",3,3,1,1.31607401295249
